English,Afrikaans
cent,sent 
schumann,schumann 
claim,opeis 
iodla,jodla 
influence,beïnvloed 
scala,scala 
price,price 
heavier,swaarder 
face,aankyk 
nothing,niksnut 
love,versot 
bullet,koeël 
produce,produseer 
left side,linkerkant 
halfway,halfpad 
powerful,kragtige 
transport,vervoer 
love stories,liefdesverhale 
thrown,gegooi 
Jacob,jacob 
bonjour,bonjour 
delicious,heerliker 
audience,toeskouers 
Muskadel wine,muskadelwyn 
randy,randy 
mix,vermeng 
considerate,bedagsaam 
dissatisfied,ontevrede 
contacts,kontakte 
glorify,verheerlik 
lonely,eensame 
roll,roll 
prayer,gebed 
soccer,sokker 
pick,pluk 
real,werklike 
Switzerland,switserland 
crimes,misdade 
unexpected,onverwagte 
there,daars 
hull,romp 
glory,heerlikheid 
date,datum 
Michalak,michalak 
baptism,doop 
sins,sondes 
development,ontwikkeling 
unchanging,onveranderlik 
overwhelming,oorweldigend 
precious,waardevol 
enroll,inskryf 
estrid,estrid 
solid,soliede 
back door,agterdeur 
deploy,ontplooi 
formally,formeel 
wide,wyd 
climb,inklim 
basically,basiese 
trick,toertjie 
brutal,brutaal 
energy,energie 
tongue,tong 
temple,tempel 
songs,liedere 
pianist,pianis 
accomplish,beul 
brackets,hakies 
forehead,voorkop 
dagger,dolk 
jackie,jackie 
alert,waaksaam 
coming,komende 
tatta,tatta 
goose,gans 
barracks,barakke 
worlds,wêrelde 
cloths,lappe 
frivol,ligsinnig 
outposts,buiteposte 
turns,beurte 
worthy,waardig 
Heimat,heimat 
albin,albin 
committee,komitee 
make,uitmaak 
impotent,impotent 
noblily,edelmoedig 
lay down,neerlê 
round,ronde 
doors,deure 
yourself,jyself 
sent away,weggestuur 
Dutch,nederlanders 
locate,opspoor 
weak,swaksinnig 
delayed,vertraagde 
milan,milan 
plot,komplot 
poop rolls,poepolle 
dangers,gevare 
regiment,regiment 
meeting,vergader 
navarra,navarra 
theologian,teoloog 
Johanna,johanna 
bump,stamp 
bush,bosse 
authority,kenner 
sister,sustertjie 
file,dossier 
overseas,oorsee 
adventure,avontuur 
crystal,kristal 
squeak,piepie 
broken,gebroke 
swing,swaai 
high,hoogstens 
bounce,bons 
pronunciation,uitspraak 
sixemann,sesemann 
primitive,primitiewe 
invigorating,verkwikkend 
love drink,liefdesdrank 
berlin,berlyner 
powerful,magtigste 
served,gedien 
terrorists,terroriste 
fairy tales,sprokies 
recent,onlangse 
lire,lire 
long,lanklaas 
experienced,gebewe 
jannemics,jannemieke 
govaert,govaert 
different,verskillend 
raphaelle,raphaëlle 
ex,ex 
diary,dagboek 
lab,lab 
fired,afgedank 
sister -in -law,skoonsuster 
rogier,rogier 
karl,karl 
stone pillars,klippilare 
universe,heelal 
something,ietsie 
Henriette,henriette 
daily,daily 
colored,gekleur 
cow,koei
